Date,Open,High,Low,Close,Adj Close,Volume
2019-03-27,17.636801,17.817699,17.063999,17.184601,17.184601,87204737
2019-03-28,17.214800,18.089100,17.033899,17.486099,17.486099,207915009
2019-04-01,18.250000,18.250000,17.650000,17.750000,17.750000,44374809
2019-04-02,17.900000,17.900000,16.600000,16.750000,16.750000,61660301
2019-04-03,16.450001,16.950001,15.800000,15.900000,15.900000,61979681
2019-04-04,15.900000,15.950000,14.900000,15.150000,15.150000,115062504
2019-04-05,15.050000,16.700001,15.050000,16.299999,16.299999,163072526
2019-04-08,16.700001,17.450001,16.549999,17.299999,17.299999,109448159
2019-04-09,17.500000,17.700001,16.799999,16.950001,16.950001,57008691
2019-04-10,17.049999,17.150000,16.299999,16.350000,16.350000,67257100
2019-04-11,16.400000,16.450001,15.900000,16.250000,16.250000,47799330
2019-04-12,16.299999,16.450001,15.900000,16.049999,16.049999,42481657
2019-04-15,16.049999,17.350000,15.800000,17.000000,17.000000,73466485
2019-04-16,17.000000,18.150000,16.750000,17.950001,17.950001,119864982
2019-04-18,18.100000,18.150000,16.950001,17.250000,17.250000,73204505
2019-04-22,17.350000,17.400000,16.850000,17.150000,17.150000,55102622
2019-04-23,17.150000,17.250000,16.850000,17.049999,17.049999,34255032
2019-04-24,17.250000,17.750000,17.000000,17.150000,17.150000,52632586
2019-04-25,16.750000,17.250000,16.299999,16.850000,16.850000,69215591
2019-04-26,16.750000,16.850000,16.049999,16.250000,16.250000,35364872
2019-04-29,16.250000,16.250000,16.250000,16.250000,16.250000,0
2019-04-30,16.100000,16.200001,15.250000,15.450000,15.450000,33729371
2019-05-02,15.350000,16.549999,15.150000,16.200001,16.200001,62636435
2019-05-03,16.250000,16.500000,15.900000,16.150000,16.150000,26630328
2019-05-06,17.150000,17.150000,16.250000,16.350000,16.350000,45839027
2019-05-07,16.400000,16.600000,15.500000,15.600000,15.600000,36753133
2019-05-08,15.400000,15.400000,13.650000,14.300000,14.300000,240357694
2019-05-09,14.200000,14.500000,13.950000,14.300000,14.300000,157917034
2019-05-10,14.300000,14.300000,13.550000,14.050000,14.050000,229057148
2019-05-13,14.050000,15.000000,14.050000,14.450000,14.450000,200282034
2019-05-14,14.450000,14.550000,13.000000,14.000000,14.000000,243253187
2019-05-15,14.050000,14.150000,12.800000,12.900000,12.900000,148791000
2019-05-16,13.000000,13.000000,12.050000,12.200000,12.200000,161982330
2019-05-17,12.400000,12.450000,11.600000,11.850000,11.850000,180983160
2019-05-20,12.250000,13.000000,11.800000,12.550000,12.550000,137707027
2019-05-21,12.600000,12.650000,11.700000,11.800000,11.800000,94310446
2019-05-22,11.850000,12.300000,11.500000,12.150000,12.150000,133499642
2019-05-23,12.300000,13.000000,12.250000,12.750000,12.750000,132685065
2019-05-24,12.850000,13.250000,12.550000,12.850000,12.850000,91577582
2019-05-27,12.650000,13.250000,12.600000,13.050000,13.050000,99540754
2019-05-28,13.050000,13.800000,13.000000,13.650000,13.650000,170049972
2019-05-29,13.700000,13.750000,13.150000,13.200000,13.200000,50735753
2019-05-30,13.200000,13.650000,12.950000,13.300000,13.300000,273542405
2019-05-31,13.600000,14.050000,13.450000,13.950000,13.950000,151171664
2019-06-03,13.950000,14.150000,13.800000,14.000000,14.000000,55031122
2019-06-04,14.050000,14.400000,13.800000,13.850000,13.850000,64187215
2019-06-06,13.900000,14.000000,13.200000,13.450000,13.450000,69427339
2019-06-07,13.450000,13.550000,13.200000,13.400000,13.400000,35136898
2019-06-10,13.300000,13.550000,12.650000,12.800000,12.800000,49800929
2019-06-11,12.950000,13.250000,12.600000,13.150000,13.150000,43370155
2019-06-12,13.150000,13.200000,12.800000,12.850000,12.850000,22813410
2019-06-13,12.800000,13.050000,12.750000,12.900000,12.900000,32447299
2019-06-14,12.850000,12.900000,12.300000,12.500000,12.500000,35801366
2019-06-17,12.450000,12.450000,12.000000,12.100000,12.100000,34319913
2019-06-18,12.000000,12.100000,11.800000,11.950000,11.950000,37194394
2019-06-19,11.950000,12.250000,11.100000,11.400000,11.400000,50447027
2019-06-20,11.300000,11.950000,11.250000,11.900000,11.900000,33264078
2019-06-21,11.900000,12.400000,11.750000,12.150000,12.150000,71979075
2019-06-24,12.150000,12.250000,11.950000,12.100000,12.100000,36858260
2019-06-25,12.000000,12.300000,11.850000,12.100000,12.100000,34910618
